Original Time Series,Cycle State,next_I_R04_Gripper_Load,next_I_R01_Gripper_Load,next_label,predicted_I_R04_Gripper_Load,predicted_I_R01_Gripper_Load,predicted_label,Instruction1,Output1_from_LLM,Instruction2,Output2_1_from_LLM,Output2_2_from_LLM
[[-361.  394.  100.]],8,678,359,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[420. 277. 100.]],9,-1148,384,Normal,377.0656,402.4276,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,377.0656,402.4276
[[614. 366. 700.]],9,474,370,"NoNose,NoBody2,NoBody1",479.079,389.2563,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,479.079,389.2563
[[516. 378. 100.]],15,683,377,Normal,426.19614,405.14413,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,426.19614,405.14413
[[-66. 376. 700.]],8,-998,408,"NoNose,NoBody2,NoBody1",25.58143,362.80225,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,25.58143,362.80225
[[-485.  401.  100.]],3,1065,413,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[673. 407. 700.]],9,680,397,"NoNose,NoBody2,NoBody1",547.3601,393.68546,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,547.3601,393.68546
[[-285.  327.  100.]],1,-751,361,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[176. 309. 100.]],9,1203,235,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-232.  405.  100.]],16,-382,395,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[717. 444. 500.]],9,601,399,"NoNose,NoBody2",665.99286,407.83838,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,665.99286,407.83838
[[-1175.   372.   100.]],4,-262,354,Normal,42.883427,214.7915,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,42.883427,214.7915
[[568. 342. 500.]],16,604,498,"NoNose,NoBody2",512.617,397.98853,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,512.617,397.98853
[[-1057.   361.   100.]],9,325,284,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-743.  361.  100.]],8,-374,393,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[660. 403. 700.]],10,679,418,"NoNose,NoBody2,NoBody1",537.5873,393.0392,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,537.5873,393.0392
[[619. 420. 700.]],8,532,419,"NoNose,NoBody2,NoBody1",496.86383,390.30618,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,496.86383,390.30618
[[663. 463. 500.]],17,648,409,"NoNose,NoBody2",662.5726,407.41168,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,662.5726,407.41168
[[610. 448. 500.]],11,655,393,"NoNose,NoBody2",607.058,404.01215,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,607.058,404.01215
[[229. 371. 100.]],14,497,374,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[494. 348. 100.]],8,-366,355,Normal,419.6734,404.78348,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,419.6734,404.78348
[[606. 412. 600.]],6,716,284,"NoBody2,NoBody1",564.8221,397.77786,"NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoBody2,NoBody1",What are the next sensor values associated with next time step?,564.8221,397.77786
[[533. 353. 700.]],9,716,376,"NoNose,NoBody2,NoBody1",256.57678,287.32227,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,256.57678,287.32227
[[-1027.   350.   100.]],5,700,361,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[562. 413. 300.]],5,-452,420,NoBody1,560.7634,409.0734,NoBody1,What are the anomalies that happen in next time step?,NoBody1,What are the next sensor values associated with next time step?,560.7634,409.0734
[[-145.  335.  100.]],3,-634,373,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-75. 390. 100.]],8,415,286,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-1235.   397.   100.]],8,368,381,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[1071.  389.  700.]],17,817,446,"NoNose,NoBody2,NoBody1",102.20087,367.30118,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,102.20087,367.30118
[[-807.  425.  700.]],8,-977,334,"NoNose,NoBody2,NoBody1",26.831795,364.10696,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,26.831795,364.10696
[[ 43. 390. 100.]],9,323,344,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[664. 393. 100.]],11,-1047,368,Normal,344.7229,400.6393,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,344.7229,400.6393
[[-672.  320.  100.]],8,-644,358,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[978. 368. 100.]],9,-715,346,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[654. 448. 500.]],9,686,418,"NoNose,NoBody2",655.20166,406.85742,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,655.20166,406.85742
[[620. 227. 500.]],18,601,464,"NoNose,NoBody2",130.49496,374.97763,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,130.49496,374.97763
[[653. 403. 500.]],8,585,405,"NoNose,NoBody2",615.10266,404.29712,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,615.10266,404.29712
[[-119.  354.  100.]],9,547,332,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[1026.  416.  100.]],9,488,376,Normal,42.883427,214.7915,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,42.883427,214.7915
[[-999.  401.  700.]],8,1093,436,"NoNose,NoBody2,NoBody1",26.45525,363.71405,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,26.45525,363.71405
[[592. 451. 200.]],9,404,364,NoNose,606.8281,415.13162,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,606.8281,415.13162
[[-898.  415.  100.]],1,-762,312,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[554. 338. 200.]],8,656,238,NoNose,511.96506,408.97736,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,511.96506,408.97736
[[-939.  444.  100.]],13,-1186,331,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[644. 413. 500.]],9,661,402,"NoNose,NoBody2",643.13226,405.8646,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,643.13226,405.8646
[[-110.  397.  100.]],4,-571,396,Normal,42.883427,214.7915,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,42.883427,214.7915
[[-699.  420.  700.]],16,-833,391,"NoNose,NoBody2,NoBody1",26.900188,364.17834,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,26.900188,364.17834
[[1137.  381.  100.]],9,-863,315,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[549. 406. 700.]],9,701,376,"NoNose,NoBody2,NoBody1",262.3775,289.2911,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,262.3775,289.2911
[[-411.  384.  100.]],18,-898,385,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-973.  416.  700.]],8,-601,386,"NoNose,NoBody2,NoBody1",26.466013,363.72528,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,26.466013,363.72528
[[619. 447. 500.]],9,712,447,"NoNose,NoBody2",617.0781,404.6072,"NoNose,NoBody2",What are the anomalies that happen in next time step?,"NoNose,NoBody2",What are the next sensor values associated with next time step?,617.0781,404.6072
[[636. 477. 200.]],10,624,321,NoNose,635.33795,416.70798,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,635.33795,416.70798
[[700. 383. 700.]],9,660,372,"NoNose,NoBody2,NoBody1",518.3656,391.93887,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,518.3656,391.93887
[[691. 315. 100.]],10,-391,328,Normal,87.61775,386.4235,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,87.61775,386.4235
[[642. 473. 200.]],12,620,479,NoNose,644.52094,417.21573,NoNose,What are the anomalies that happen in next time step?,NoNose,What are the next sensor values associated with next time step?,644.52094,417.21573
[[1158.  371.  100.]],9,324,309,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[368. 313. 100.]],7,-912,344,Normal,332.61334,399.96976,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,332.61334,399.96976
[[-314.  379.  100.]],15,-593,301,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[-758.  368.  100.]],9,631,294,Normal,42.883427,214.7915,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,42.883427,214.7915
[[219. 320. 100.]],8,1196,385,Normal,81.44661,386.08228,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,81.44661,386.08228
[[-992.  329.  100.]],9,-205,360,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[639. 383. 100.]],8,-610,388,Normal,356.218,401.2749,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,356.218,401.2749
[[-133.  406.  100.]],14,1346,380,Normal,46.014015,384.12314,Normal,What are the anomalies that happen in next time step?,Normal,What are the next sensor values associated with next time step?,46.014015,384.12314
[[673. 399. 700.]],9,846,415,"NoNose,NoBody2,NoBody1",538.984,393.15857,"NoNose,NoBody2,NoBody1",What are the anomalies that happen in next time step?,"NoNose,NoBody2,NoBody1",What are the next sensor values associated with next time step?,538.984,393.15857
